,Cash,005830,055550,105560,001450,016360,ABT,MRK,PFE
2022-10-16-01-09,0.06686101,0.11355152,0.11447301,0.1145426,0.10967606,0.10794546,0.11660503,0.10678197,0.14956334
2022-10-16-01-14,0.06686101,0.11355152,0.11447301,0.1145426,0.10967606,0.10794546,0.11660503,0.10678197,0.14956334
