Sector,Sales,Revenue,MarCap,PER,PBR,ROA,ROE,Volume,Price,Beta,DIVIDEND,Sales_score,Revenue_score,MarCap_score,ROA_score,ROE_score,PER_score,total_score
Information Technology,1692280000000.0,382109500000.0,9345480000000.0,4116.26,816.42,908.3,1788.4,456585087.0,13532.74,89.69,84.63,18.0,16.0,14.0,29.0,39.0,61.0,177.0
Industrials,1454580000000.0,139600200000.0,2797520000000.0,1657.23,374.46999999999997,629.9,1412.3,84586644.0,11227.02,79.24,99.59,21.0,22.0,23.0,31.0,41.0,38.0,176.0
Consumer Discretionary,1965600000000.0,166098500000.0,4394990000000.0,1437.25,1620.89,514.6,79.00000000000003,240235191.0,16740.91,78.83,82.07,11.0,17.0,9.0,27.0,44.0,39.0,147.0
Financials,1214805400000.0,283432300000.0,3393990000000.0,1219.54,269.67,219.5,1011.3000000000001,107415257.0,9056.95,70.21000000000001,152.62,21.0,16.0,21.0,20.0,20.0,47.0,145.0
Health Care,2862760000000.0,240688600000.0,4988000000000.0,1910.83,4724.530000000001,619.7,2133.6,71301728.0,14216.09,56.89,66.67,16.0,19.0,17.0,27.0,12.0,38.0,129.0
Real Estate,136100000000.0,29971000000.0,992430000000.0,2442.24,143.68,143.1,449.0,16887812.0,4097.97,27.78,102.52,10.0,9.0,11.0,11.0,10.0,25.0,76.0
